Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,
82691,12/03/2018,1200,0,,23.4,,,,,,
82691,13/03/2018,0000,,34.5,,,4.2,27.58,75,2,
82691,13/03/2018,1200,0,,22.4,,,,,,
82691,14/03/2018,0000,,35.2,,,3.9,28.2,70,3,
82691,14/03/2018,1200,0,,23.2,,,,,,
82691,15/03/2018,0000,,35.1,,,5.4,27.76,73,3,
82691,15/03/2018,1200,0,,21.2,,,,,,
82691,16/03/2018,0000,,36.2,,,4.3,28,77,3,
82691,16/03/2018,1200,0,,22.4,,,,,,
82691,17/03/2018,0000,,35.6,,,6.1,28.02,74,3,
82691,17/03/2018,1200,0,,22.6,,,,,,
82691,18/03/2018,0000,,35.2,,,5.6,27.8,76,3,
82691,18/03/2018,1200,0,,22.8,,,,,,
82691,19/03/2018,0000,,35,,,4.2,28.08,72,2,
82691,19/03/2018,1200,0,,22.4,,,,,,
82691,20/03/2018,0000,,33.9,,,5.1,26.66,88,2,
82691,20/03/2018,1200,0,,22.8,,,,,,
82691,21/03/2018,0000,,35.1,,,2.5,27.9,,2,
82691,21/03/2018,1200,32,,22.8,,,,,,
82691,22/03/2018,0000,,34.1,,,4,27.68,75,3,
82691,22/03/2018,1200,0,,23.8,,,,,,
82691,23/03/2018,0000,,33.1,,,3.5,27.44,73,3,
82691,23/03/2018,1200,0,,23.1,,,,,,
82691,24/03/2018,0000,,34.3,,,4.5,28.1,68,3,
82691,24/03/2018,1200,0,,21.6,,,,,,
82691,25/03/2018,0000,,33.1,,,5,28.12,76,4,
82691,25/03/2018,1200,0.5,,23.8,,,,,,
82691,26/03/2018,0000,,32.1,,,3.1,26.62,78,3,
82691,26/03/2018,1200,0,,23.2,,,,,,
82691,27/03/2018,0000,,34.7,,,3.4,27.94,70,4,
82691,27/03/2018,1200,0.6,,23.9,,,,,,
82691,28/03/2018,0000,,32.2,,,5,26.64,79,2,
82691,28/03/2018,1200,0,,24.4,,,,,,
82691,29/03/2018,0000,,30.3,,,1.8,25.1,93,3,
82691,29/03/2018,1200,16.4,,23.4,,,,,,
82691,30/03/2018,0000,,30.2,,,1.2,25.3,91,3,
82691,30/03/2018,1200,6.4,,23,,,,,,
82691,31/03/2018,0000,,32.1,,,1,26.1,91,3,
82691,31/03/2018,1200,14.6,,22.6,,,,,,
82691,01/04/2018,0000,,33.4,,,4.7,27.24,78,3,
82691,01/04/2018,1200,1.6,,23.4,,,,,,
82691,02/04/2018,0000,,29.9,,,,26.8,87,3,
82691,02/04/2018,1200,0,,24,,,,,,
82691,03/04/2018,0000,,32.1,,,,27.26,75,3,
82691,03/04/2018,1200,0.6,,23.2,,,,,,
82691,04/04/2018,0000,,33.5,,,2.6,27.46,78,3,
82691,04/04/2018,1200,0,,23.4,,,,,,
82691,05/04/2018,0000,,33.3,,,4.2,26.64,84,3,
82691,05/04/2018,1200,0,,22.4,,,,,,
82691,06/04/2018,0000,,29.4,,,,25.02,92,2,
82691,06/04/2018,1200,27,,22.7,,,,,,
82691,07/04/2018,0000,,31.3,,,0.4,25.54,90,3,
82691,07/04/2018,1200,22.7,,22.4,,,,,,
82691,08/04/2018,0000,,31.2,,,1.5,25.48,91,3,
82691,08/04/2018,1200,11.8,,23.2,,,,,,
82691,09/04/2018,0000,,30.4,,,,25.24,89,3,
82691,09/04/2018,1200,9.4,,23,,,,,,
82691,10/04/2018,0000,,30.9,,,2.2,25.9,78,3,
82691,10/04/2018,1200,11,,23.2,,,,,,
82691,11/04/2018,0000,,29.3,,,2,24.18,94,3,
82691,11/04/2018,1200,3.2,,22.2,,,,,,
82691,12/04/2018,0000,,31.7,,,1.8,26.2,81,3,
82691,12/04/2018,1200,23,,22.5,,,,,,
82691,13/04/2018,0000,,29.2,,,2.7,24.6,85,3,
82691,13/04/2018,1200,2.2,,22.3,,,,,,
82691,14/04/2018,0000,,30.2,,,0.7,24.84,95,3,
82691,14/04/2018,1200,5.4,,22.2,,,,,,
82691,15/04/2018,0000,,32.2,,,0.9,25.62,91,3,
82691,15/04/2018,1200,22.3,,22.8,,,,,,
82691,16/04/2018,0000,,30.2,,,2.2,25.26,88,4,
82691,16/04/2018,1200,18.4,,23.4,,,,,,
82691,17/04/2018,0000,,27.2,,,2,24.12,90,3,
82691,17/04/2018,1200,7.4,,23,,,,,,
82691,18/04/2018,0000,,31.9,,,1.4,26.68,80,2,
82691,18/04/2018,1200,0.5,,23.4,,,,,,
82691,19/04/2018,0000,,32.3,,,3.3,26.62,79,3,
82691,19/04/2018,1200,0,,23,,,,,,
82691,20/04/2018,0000,,31.1,,,2.5,,,2,
82691,20/04/2018,1200,0,,23,,,,,,
82691,21/04/2018,0000,,30.7,,,1.2,25.4,86,3,
82691,21/04/2018,1200,18.6,,22.2,,,,,,
82691,22/04/2018,0000,,28.7,,,2.3,24.74,89,2,
82691,22/04/2018,1200,6,,23,,,,,,
82691,23/04/2018,0000,,30.3,,,1,25.28,84,3,
82691,23/04/2018,1200,17.8,,22.4,,,,,,
82691,24/04/2018,0000,,31.1,,,2.3,25.66,27,3,
82691,24/04/2018,1200,15.7,,23.2,,,,,,
82691,25/04/2018,0000,,30.3,,,,25.66,79,3,
82691,25/04/2018,1200,0.2,,23,,,,,,
82691,26/04/2018,0000,,29.9,,,2.9,24.86,89,3,
82691,26/04/2018,1200,0,,22.4,,,,,,
82691,27/04/2018,0000,,31.1,,,1.9,26.22,80,3,
82691,27/04/2018,1200,7.7,,21.8,,,,,,
82691,28/04/2018,0000,,31.7,,,2.7,26.36,80,4,
82691,28/04/2018,1200,0,,23.2,,,,,,
82691,29/04/2018,0000,,31.4,,,2.5,26.32,79,3,
82691,29/04/2018,1200,0.6,,23.2,,,,,,
82691,30/04/2018,0000,,29.7,,,2,24.9,91,3,
82691,30/04/2018,1200,0.5,,23.2,,,,,,
82691,01/05/2018,0000,,31.5,,,1.2,26.62,81,4,
82691,01/05/2018,1200,6,,23.2,,,,,,
82691,02/05/2018,0000,,31.1,,,2.5,26.02,79,3,
82691,02/05/2018,1200,0,,23.8,,,,,,
82691,03/05/2018,0000,,31.2,,,,25.2,91,3,
82691,03/05/2018,1200,0,,22.5,,,,,,
82691,04/05/2018,0000,,30.7,,,,25.62,77,4,
82691,04/05/2018,1200,2.2,,22.2,,,,,,
82691,05/05/2018,0000,,29.9,,,2.5,25.12,85,3,
82691,05/05/2018,1200,0,,21.3,,,,,,
82691,06/05/2018,0000,,29.5,,,2.3,25.04,85,3,
82691,06/05/2018,1200,2.8,,23.5,,,,,,
82691,07/05/2018,0000,,30.9,,,1.9,25.86,80,4,
82691,07/05/2018,1200,0,,22.6,,,,,,
82691,08/05/2018,0000,,31.2,,,2.3,25.6,85,3,
82691,08/05/2018,1200,0,,23.6,,,,,,
82691,09/05/2018,0000,,29.9,,,2.1,25.96,78,3,
82691,09/05/2018,1200,0,,24,,,,,,
82691,10/05/2018,0000,,29.3,,,2.7,25.34,85,3,
82691,10/05/2018,1200,0,,23.2,,,,,,
82691,11/05/2018,0000,,32.1,,,1.1,26.78,75,5,
82691,11/05/2018,1200,0,,23.4,,,,,,
82691,12/05/2018,0000,,32,,,2.1,27.18,77,3,
82691,12/05/2018,1200,0,,24,,,,,,
82691,13/05/2018,0000,,32.3,,,1.5,26.94,78,3,
82691,13/05/2018,1200,0,,22.8,,,,,,
82691,14/05/2018,0000,,32.2,,,1.6,26.44,76,4,
82691,14/05/2018,1200,0,,23,,,,,,
82691,15/05/2018,0000,,29.3,,,1.8,25.5,84,2,
82691,15/05/2018,1200,0,,23.8,,,,,,
82691,16/05/2018,0000,,31.3,,,3,26.26,7,3,
82691,16/05/2018,1200,0.4,,22.6,,,,,,
82691,17/05/2018,0000,,29.3,,,3.3,25.06,87,3,
82691,17/05/2018,1200,0,,22.7,,,,,,
82691,18/05/2018,0000,,31.5,,,1.5,25.94,79,2,
82691,18/05/2018,1200,1.8,,23,,,,,,
82691,19/05/2018,0000,,31.3,,,1.9,26.26,80,3,
82691,19/05/2018,1200,0,,23.2,,,,,,
82691,20/05/2018,0000,,32.7,,,1.4,26.78,74,3,
82691,20/05/2018,1200,0,,21.2,,,,,,
82691,21/05/2018,0000,,32.7,,,1.6,26.96,77,4,
82691,21/05/2018,1200,0,,22.6,,,,,,
82691,22/05/2018,0000,,32,,,2.1,26.54,71,4,
82691,22/05/2018,1200,0,,24,,,,,,
82691,23/05/2018,0000,,32.3,,,1.7,26.46,74,4,
82691,23/05/2018,1200,0,,22,,,,,,
82691,24/05/2018,0000,,31.1,,,3.3,25.94,77,3,
82691,24/05/2018,1200,0,,22,,,,,,
82691,25/05/2018,0000,,32.2,,,1.6,26,77,4,
82691,25/05/2018,1200,0,,22.2,,,,,,
82691,26/05/2018,0000,,32,,,1.6,26.82,72,4,
82691,26/05/2018,1200,11,,23.8,,,,,,
82691,27/05/2018,0000,,32.4,,,1.6,26.5,75,4,
82691,27/05/2018,1200,0,,23.3,,,,,,
82691,28/05/2018,0000,,30.9,,,1.9,25.46,79,4.05,
82691,28/05/2018,1200,0,,21.6,,,,,,
82691,29/05/2018,0000,,31.9,,,1.3,25.98,68,3,
82691,29/05/2018,1200,0,,22,,,,,,
82691,30/05/2018,0000,,32.2,,,1.6,25.76,72,3,
82691,30/05/2018,1200,0,,20.3,,,,,,
82691,31/05/2018,0000,,30.2,,,1.6,25.58,79,2,
82691,31/05/2018,1200,0,,22.8,,,,,,
82691,01/06/2018,0000,,,,,,,,4.11552,
82691,01/06/2018,1200,0,,22.5,,,,,,
